Paper Name,Link,Year,Venue
Metrics and laws of software evolution-the nineties view,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/637156,1997,International Software Metrics Symposium
Cyberspace 2000: dealing with information overload,https://dl.acm.org/doi/10.1145/253671.253680,1997,10.1145/253671.253680
Modelling the application domains of software engineering technologies,https://ieeexplore.ieee.org/abstract/document/632850,1997,10.1109/ASE.1997.632850
Abstract Syntax from Concrete Syntax,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/610346,1997,ICSE
Rigi: A Visualization Environment for Reverse Engineering,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/610428,1997,ICSE
If Your Version Control System Could Talk ...,https://www.researchgate.net/publication/2791666_If_Your_Version_Control_System_Could_Talk,1997,ICSE
Software Metrics: A Rigorous and Practical Approach,https://books.google.nl/books?hl=nl&lr=&id=lx_OBQAAQBAJ&oi=fnd&pg=PP1&dq=Software+Metrics:+A+Rigorous+and+Practical+Approach.&ots=_VlRQnSMVB&sig=83nhNzlAwm8BHjcuvUUnZu7-0oU#v=onepage&q=Software%20Metrics%3A%20A%20Rigorous%20and%20Practical%20Approach.&f=false,1998,Book
Describing software architecture styles using graph grammars,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/708567,1998,IEEE Transactions on Software Engineering
Detection of Logical coupling based on product release history,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/738508,1998,ICSM 
On combining classifiers,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/667881,1998,IEEE Transactions on Pattern Analysis and Machine Intelligence
"Patterns and antipatterns, The patterns handbooks",https://www.amazon.nl/Patterns-Handbook-Techniques-Strategies-Applications/dp/0521648181,1998,Book
View extraction and view fusion in architectural understanding,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/685754,1998,ICSR
Structural manipulations of software architecture using Tarski relational algebra,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/723191,1998,WCRE
"AntiPatterns: Refactoring Software, Architecture, and Projects in Crisis",https://www.amazon.com/AntiPatterns-William-J-Brown/dp/0471197130,1998,Book
A Fast and High Quality Multilevel Scheme for Partitioning Irregular Graphs,https://epubs-siam-org.proxy-ub.rug.nl/doi/10.1137/S1064827595287997,1998,SIAM Journal on Scientific Computing
Violin Plots: A Box Plot-Density Trace Synergism,https://www-jstor-org.proxy-ub.rug.nl/stable/2685478?origin=crossref&seq=1,1998,The American Statistician
Clone detection using abstract syntax trees,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/738528,1998,ICSM
What's wrong with Bonferroni adjustments,https://www-bmj-com.proxy-ub.rug.nl/content/316/7139/1236,1998,British Medical Journal
To maintain a reliable software specification,https://ieeexplore.ieee.org/abstract/document/730774,1998,10.1109/ISSRE.1998.730774
AGORA: a search engine for software components,https://ieeexplore.ieee.org/abstract/document/735988,1998,10.1109/4236.735988
Architecture-based runtime software evolution,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/671114,1998,ICSE
Refactoring: Improving The Design Of Existing Code,https://books.google.nl/books?id=HmrDHwgkbPsC&printsec=frontcover&hl=nl#v=onepage&q&f=false,1999,Book
The Conflict between Notions of Fairness and the Pareto Principle,https://watermark-silverchair-com.proxy-ub.rug.nl/63.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAtgwggLUBgkqhkiG9w0BBwagggLFMIICwQIBADCCAroGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMnnWAJcAuWn92YdokAgEQgIICixYGoV3LvtJfaOh64h686sYH6bP7Kn5MuW9E3Zcpoi9Kd9paf_SZStSn-Ldfe_TqM8UKQH3l0n15HIVJjbF72UGNK5S0cvG9ewIguVoDPIrYlBv-rQz-MnWHsDKmMT0HtJyCAwhMOfrrtMZRH0i3iwlTKpM5DTeEJm5lX5V9uNqqwOFZKfQOqFYFoGU0TIY0kdzmA7WOctgGD8pNxyj_grvDx8sbzswAHRmqr93QMNb07onK5_w3SlOegpsp4-lpDkAKtj9f6j7EGExoFaLGqycS2PGZPOYDEITGwvfWIQa5NpAItCkdOFkO224QTCuPufPoRbL9wZ2CNohN5lmoGZ58GtBfwbmxSLxLXLlAfwR-v3qTHRVay5e8ww_rmDOcWswORXtJHeqU7tkQiMF7O1BPeqetFcR5CdAGdVdyVI9-ATeyYpzqfsE7ZmPqpFmpTIlJmCsWo8mLlJpBWYbhRkjoyWJXX22sAtgXII-mQhEJKpjghRfLt4leDWecSnz1S0lbB06VTS8cSx17OtyQj-A6ggeaFkdkSg1EHc5eFoO4c1EsWglaiK_A99ZFaQSCS0_v3hrhJTSZJIcwk9OztfTaJ4L9VoBJL4Oo4niAHKjidAHH1Upzy9-PuWXKJO9ZAATkGwf8hLZ4d54IGPCQPBlJa0ukSi0_UWdHl6krRQO7pJvUoLW3A0rDSoZlet0r5Y0kXrMAd6Y5er4HKDxOz7bLNYBHH5rRBY9AcENiFnt0qgfonlR0Dkot4S00229qCs0k9lalGkvhicvxLllKWutzdqPjIfWsUmNQm_5j3QwyXLp9LammedtlzjmdgVDcj-2hI_HuirN6o0ur32rx7VaMxodCpzyUs4gmiA,1999,American Law and Economics review
MoJo: a distance metric for software clusterings,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/806959,1999,RE
An architecture-based approach to self-adaptive software,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/769885,1999,IEEE Intelligent Systems and their Applications
Whole program paths,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/301631.301678,1999,ACM SIGPLAN Notices
Removing unnecessary synchronization in Java,https://dl-acm-org.proxy-ub.rug.nl/doi/pdf/10.1145/320384.320388,1999,ACM SIGPLAN Notices
Action research,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/291469.291479,1999,Communications of the ACM
Foundations of Statistical Natural Language Processing,https://www.amazon.com/Foundations-Statistical-Natural-Language-Processing/dp/0262133601,1999,Book
First Things First: Prioritizing Requirements,https://www-semanticscholar-org.proxy-ub.rug.nl/paper/First-Things-First%3A-Prioritizing-Requirements-Wiegers/7e476e75de1a00911064149584c5bb1c32327aa8,1999,Software Development
Recovering Software Architecture from the names of Source Files,https://www.researchgate.net/publication/220674120_Recovering_Software_Architecture_from_the_Names_of_Source_Files,1999,Journal of Software Maintenance Research and Practice
Forward and reverse repair of software architecture,https://dl-acm-org.proxy-ub.rug.nl/doi/10.5555/781995.782007,1999,CASCON
Playing Detective: Reconstructing Software Architecture from Available Evidence,https://link-springer-com.proxy-ub.rug.nl/article/10.1023/A:1008781513258,1999,Automated Software Engineering
Qualitative methods in empirical studies of software engineering,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/799955,1999,IEEE Transactions on Software Engineering
Evolution in software product lines: Two cases,https://dl-acm-org.proxy-ub.rug.nl/doi/10.5555/334928.334930,1999,Journal of Software Maintenance: Research and Practice
An approach for measuring software evolution using source code features,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/809579,1999,ASPEC
Multiple Regression: A Primer,https://www.amazon.com/Multiple-Regression-Research-Methods-Statistics/dp/0761985336,1999,Book
Round-Trip Software Engineering Using UML: From Architecture to Design and Back,https://www-semanticscholar-org.proxy-ub.rug.nl/paper/Round-Trip-Software-Engineering-Using-UML%3A-From-to-Medvidovi%C4%87-Egyed/2716824496d5c1d46cb166abe98b36ea2767e5a0,1999,Article
A language independent approach for detecting duplicated code,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/792593,1999,ICSM
"Hubs, authorities, and communities",https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/345966.345982,1999,ACM Computing Surveys
The PageRank Citation Ranking: Bringing Order to the Web,http://ilpubs.stanford.edu:8090/422/,1999,Technical report
Mathematical Methods of Statistics,,1999,
Linux as a case study: its extracted software architecture,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/841045,1999,ICSE
Experience with performing architecture tradeoff analysis,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/840995,1999,ICSE
"A Liberal Theory of Social Welfare: Fairness, Utility, and the Pareto Principle",https://www.researchgate.net/publication/228256839_A_Liberal_Theory_of_Social_Welfare_Fairness_Utility_and_the_Pareto_Principle,2000,The Yale Law Journal
A classification and comparison framework for software architecture description languages,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/825767,2000,IEEE Transactions on Software Engineering
ACDC: An Algorithm for Comprehension-Driven Clustering,https://ieeexplore-ieee-org.proxy-ub.rug.nl/stamp/stamp.jsp?arnumber=891477,2000,WCRE
Domain-Specific Application Frameworks,https://books.google.nl/books/about/Domain_Specific_Application_Frameworks.html?id=3YIpAQAAMAAJ&redir_esc=y,2000,Book
Pattern-Oriented Software Architecture: Patterns for Concurrent and Networked Objects,https://www.researchgate.net/publication/215835789_Pattern-Oriented_Software_Architecture_Patterns_for_Concurrent_and_Networked_Objects_Volume_2,2000,Book
Design Rules Volume I: The Power of Modularity,https://www.researchgate.net/publication/227458384_Design_Rules_Volume_I_The_Power_of_Modularity,2000,Book
Predicting fault incidence using software change history,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/859533,2000,IEEE Transactions on Software Engineering
Exploring the relationships between design measures and software quality in object-oriented systems,https://www.researchgate.net/publication/222547352_Exploring_the_relationships_between_design_measures_and_software_quality_in_object-oriented_systems,2000,Journal of Systems and Software
Software profiling for hot path prediction: less is more,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/356989.357008,2000,ACM SIGPLAN Notices
Effective synchronization removal for Java,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/349299.349327,2000,PLDI
A Coupling-Guided Cluster Analysis Approach to Reengineer the Modularity of Object-Oriented Systems,https://dl-acm-org.proxy-ub.rug.nl/doi/10.5555/518900.795263,2000,CSMR
The effect of call graph construction algorithms for object-oriented programs on automatic clustering,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/852493,2000,IWPC
Using latent semantics analysis to identify similarities in source code to support program understanding,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/889845,2000,ICTAI
Capturing Software Architecture Design Expertise with Armani,https://www-semanticscholar-org.proxy-ub.rug.nl/paper/Capturing-Software-Architecture-Design-Expertise-Monroe/f5e7fcca0fd4c0376bf1582bb120925111e59807,2000,Thesis
Design Principles and Design Patterns,http://staff.cs.utu.fi/staff/jouni.smed/doos_06/material/DesignPrinciplesAndPatterns.pdf,2000,Article
Agglomerative clustering of a search engine query log,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/347090.347176,2000,KDD
Acme: Architectural Description of Component-Based Systems,https://www.cs.cmu.edu/afs/cs/project/able/ftp/acme-fcbs/,2000,Foundations of Component-Based Systems
Expertise recommender: a flexible recommendation system and architecture,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/358916.358994,2000,CSCW
"Generative Programming: Methods, Tools, and Applications",https://www.amazon.nl/Generative-Programming-Methods-Tools-Applications/dp/0201309777,2000,Book
Design and Use of Software Architectures: Adopting and Evolving a Product-Line Approach,https://www.amazon.co.uk/Design-Use-Software-Architectures-Product-Line/dp/0201674947,2000,Book
Architectural styles and the design of network-based software architectures,https://dl-acm-org.proxy-ub.rug.nl/doi/10.5555/932295,2000,Thesis
A reference architecture for Web servers,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/891462,2000,WCRE
Using regression splines for software performance analysis,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/350391.350416,2000,WOSP
Evolution in open source software: a case study,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/883030,2000,ICSM
"A Comparison of Prediction Accuracy, Complexity, and Training Time of Thirty-Three Old and New Classification Algorithms",https://link-springer-com.proxy-ub.rug.nl/article/10.1023/A:1007608224229,2000,Machine Learning
Machine Learning from Imbalanced Data Sets 101,https://www.aaai.org/Papers/Workshops/2000/WS-00-05/WS00-05-001.pdf,2000,AAAI
FAMIX: Exchange Experiences with CDIF and XMI,https://www.researchgate.net/publication/2805449_FAMIX_Exchange_Experiences_with_CDIF_and_XMI,2000,WoSEF
Analysis of Symbolic Data: Exploratory Methods for Extracting Statistical Information from Complex Data,https://link-springer-com.proxy-ub.rug.nl/book/10.1007/978-3-642-57155-8,2000,Book
Leveraging inconsistency in software development,https://ieeexplore.ieee.org/abstract/document/839317,2000,10.1109/2.839317
A study of usability of Web-based software repositories,https://ieeexplore.ieee.org/abstract/document/890420,2000,10.1109/SWMT.2000.890420
Cross-Validation Methods,https://www.sciencedirect.com/science/article/pii/S0022249699912798,2000,10.1006/jmps.1999.1279
Evaluation of Workflow-type software products: a case study,https://www.sciencedirect.com/science/article/pii/S0950584900000938,2000,10.1016/S0950-5849(00)00093-8
A case study in root cause defect analysis,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/870433,2000,ICSE
Principled design of the modern Web architecture,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/870431,2000,ICSE
Software Defect Reduction Top 10 List,https://www.cs.umd.edu/projects/SoftEng/ESEG/papers/82.78.pdf,2001,Article
The confounding effect of class size on the validity of object-oriented metrics,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/935855,2001,IEEE Transactions on Software Engineering
