Paper Name,Link,Year,Type,Analysed,MSR,SA,MSR4SA,Rank,Data Extraction,Note,Description,
The Conflict between Notions of Fairness and the Pareto Principle,https://watermark-silverchair-com.proxy-ub.rug.nl/63.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAtgwggLUBgkqhkiG9w0BBwagggLFMIICwQIBADCCAroGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMnnWAJcAuWn92YdokAgEQgIICixYGoV3LvtJfaOh64h686sYH6bP7Kn5MuW9E3Zcpoi9Kd9paf_SZStSn-Ldfe_TqM8UKQH3l0n15HIVJjbF72UGNK5S0cvG9ewIguVoDPIrYlBv-rQz-MnWHsDKmMT0HtJyCAwhMOfrrtMZRH0i3iwlTKpM5DTeEJm5lX5V9uNqqwOFZKfQOqFYFoGU0TIY0kdzmA7WOctgGD8pNxyj_grvDx8sbzswAHRmqr93QMNb07onK5_w3SlOegpsp4-lpDkAKtj9f6j7EGExoFaLGqycS2PGZPOYDEITGwvfWIQa5NpAItCkdOFkO224QTCuPufPoRbL9wZ2CNohN5lmoGZ58GtBfwbmxSLxLXLlAfwR-v3qTHRVay5e8ww_rmDOcWswORXtJHeqU7tkQiMF7O1BPeqetFcR5CdAGdVdyVI9-ATeyYpzqfsE7ZmPqpFmpTIlJmCsWo8mLlJpBWYbhRkjoyWJXX22sAtgXII-mQhEJKpjghRfLt4leDWecSnz1S0lbB06VTS8cSx17OtyQj-A6ggeaFkdkSg1EHc5eFoO4c1EsWglaiK_A99ZFaQSCS0_v3hrhJTSZJIcwk9OztfTaJ4L9VoBJL4Oo4niAHKjidAHH1Upzy9-PuWXKJO9ZAATkGwf8hLZ4d54IGPCQPBlJa0ukSi0_UWdHl6krRQO7pJvUoLW3A0rDSoZlet0r5Y0kXrMAd6Y5er4HKDxOz7bLNYBHH5rRBY9AcENiFnt0qgfonlR0Dkot4S00229qCs0k9lalGkvhicvxLllKWutzdqPjIfWsUmNQm_5j3QwyXLp9LammedtlzjmdgVDcj-2hI_HuirN6o0ur32rx7VaMxodCpzyUs4gmiA,1999,American Law and Economics review,No,No,No,No,,,,Another paper that discusses the Pareto Principle,
"A Liberal Theory of Social Welfare: Fairness, Utility, and the Pareto Principle",https://www.researchgate.net/publication/228256839_A_Liberal_Theory_of_Social_Welfare_Fairness_Utility_and_the_Pareto_Principle,2000,The Yale Law Journal,No,No,No,No,,,,"Social welfare, so it has nothing to do with software",
Are 20% of files responsible for 80% of defects,https://www.researchgate.net/publication/328088839_Are_20_of_files_responsible_for_80_of_defects,2018,International Symposium on Empirical Software Engineering and Measurement,No,Yes,No,No,,,,"They devised a search criterion to identify defect fixes from commit messages and used this to analyse 100 active Github repositories. They used MSR specifically for commits, so not for SA",
Software Defect Reduction Top 10 List,https://www.cs.umd.edu/projects/SoftEng/ESEG/papers/82.78.pdf,2001,Article,No,No,Yes,No,,,,"They list 10 ways to reduce software defects, but they do not use MSR",
Two Case Studies of Open Source Software Development: Apache and Mozilla,https://www.researchgate.net/publication/2541437_Two_Case_Studies_of_Open_Source_Software_Development_Apache_and_Mozilla,2002,Article,No,No,No,No,,,,This paper presents two case studies of the development and maintenance of major Open Source Software projects. MSR is not used for this,
Revisiting the applicability of the pareto principle to core development teams in open source software projects,https://www.researchgate.net/publication/299870433_Revisiting_the_applicability_of_the_pareto_principle_to_core_development_teams_in_open_source_software_projects,2015,The 14th International Workshop,No,Yes,No,No,,,,They use heuristics to study if 80% of the code contributions are produced by 20% of the active developers,
Prioritization of Classes for Refactoring,https://www.researchgate.net/publication/301377038_Prioritization_of_Classes_for_Refactoring,2015,WCI,No,No,Yes,No,,,,This paper about software refactoring does not mention the use of MSR,
Architecture Anti-patterns: Automatically Detectable Violations of Design Principles,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/8691586,2019,IEEE Transactions on Software Engineering,No,Yes,Yes,Yes,A*,Yes (Dennis),,They automatically detect anti-patterns by analyzing a project's structural relationships and revision history,
An Empirical Investigation on the Relationship between Design and Architecture Smells,https://www.researchgate.net/publication/342830617_An_Empirical_Investigation_on_the_Relationship_between_Design_and_Architecture_Smells,2020,Empirical Software Engineering,No,Yes,Yes,Yes,A,Yes (Dennis),,They mine 3073 open-source repositories containing more than 118 million lines of C# code and empirically investigate the relationships between seven architecture and 19 design smells,
Are Architectural Smells Independent from Code Smells? An Empirical Study,https://www.researchgate.net/publication/332689535_Are_Architectural_Smells_Independent_from_Code_Smells_An_Empirical_Study,2019,Journal of Systems and Software,No,Yes,Yes,Yes,A,Yes (Dennis),,They use a tool to detect architectural code smells in multiple java projects,
A systematic mapping study on architectural smells detection,https://www.researchgate.net/publication/347419232_A_systematic_mapping_study_on_architectural_smells_detection,2020,Journal of Systems and Software,No,Yes,Yes,No,,,,"It is a software literature review, so it is outside of our scope",
Hotspot Patterns: The Formal Definition and Automatic Detection of Architecture Smells,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/7158503,2015,WICSA,Yes,,,,,,,"It is part of the WICSA conference, so it is already analysed",
Automatic Detection of Instability Architectural Smells,https://ieeexplore-ieee-org.proxy-ub.rug.nl/stamp/stamp.jsp?arnumber=7816489,2016,ICSME,No,Yes,Yes,Yes,A,,Just 7 projects without versions (would this be enough),They introduce a tool for the detection of architectural smells that could have an impact on the stability of a system,
Toward a Catalogue of Architectural Bad Smells,https://jgarcia.ics.uci.edu/wp-content/uploads/10.1.1.183.9958.pdf,2009,International Conference on the Quality of Software Architectures: Architectures for Adaptive Software Systems,No,No,Yes,No,,,,They describe in detail four representative architectural smells that emerged from reverse-engineering and re-engineering two large industrial systems,
Does your configuration code smell?,https://www.researchgate.net/publication/303413552_Does_your_configuration_code_smell,2016,MSR,Yes,,,,,,,"It is part of the MSR conference, so it is already analysed",
Curating GitHub for engineered software projects,https://www.researchgate.net/publication/311485564_Curating_GitHub_for_engineered_software_projects,2016,Empirical Software Engineering,No,Yes,No,No,,,,They identify software engineering practices and propose means for validating their existence in a GitHub repository,
Designite - A Software Design Quality Assessment Tool,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/7809461,2016,BRIDGE,No,Yes,Yes,Yes,Not ranked,Yes (Dennis),,They use a software design quality assessment tool called Designite,
On the Density and Diversity of Degradation Symptoms in Refactored Classes: A Multi-case Study,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/8987457,2019,ISSRE,No,Yes,No,No,,,,They used a tool to automatically detect refactorings of 11 different types,
An Empirical Study of Bad Smells during Software Evolution Using Designite Tool ,https://www-mdpi-com.proxy-ub.rug.nl/2078-2489/11/7/348/htm,2018,Journal on Software Engineering,No,Yes,Yes,Yes,Not ranked,,,They use the Designite tool to detect and measure a big number of bad smells,
Architecture Smells and Pareto Principle: A Preliminary Empirical Exploration,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/9463110,2021,MSR,Yes,,,,,,,"It is part of the MSR conference, so it is already analysed",
Relating Architectural Decay and Sustainability of Software Systems,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/7516827,2016,WICSA,Yes,,,,,,,"It is part of the WICSA conference, so it is already analysed",
Managing Architectural Technical Debt: A unified model and systematic literature review,https://www.researchgate.net/publication/320081646_Managing_Architectural_Technical_Debt_A_unified_model_and_systematic_literature_review,2017,Journal of Systems and Software,No,No,Yes,No,,,,This is a systematic literature review of currently recognized knowledge concerning architectural technical debt. MSR is not used for this,
Technical Debt: From Metaphor to Theory and Practice,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6336722,2012,IEEE Software,No,No,Yes,No,,,,"This journal discusses technical debt, but does not use MSR",
Exploring Blueprints on the Prioritization of Architecturally Relevant Code Anomalies -- A Controlled Experiment,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6899236,2014,Annual Computer Software and Applications Conference,No,No,Yes,No,,,,"This paper presents a controlled experiment aiming at investigating how developers, when supported by architecture blueprints, are able to prioritize different types of code anomalies in terms of their architectural relevance. This means that they do not use MSR",
Application of 80/20 rule in software engineering Waterfall Model,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5267186,2009,International Conference on Information and Communication Technologies,No,No,No,No,,,,Their main research work is to improve the work-task part of the software process in the software engineering process models,
Experiments in Curation: Towards Machine-Assisted Construction of Software Architecture Knowledge Bases,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/7930202,2017,ICSA,Yes,,,,,,,"It is part of the ICSA conference, so it is already analysed",
Automatic Extraction of Design Decisions from Issue Management Systems: A Machine Learning Based Approach,https://www.researchgate.net/publication/319105976_Automatic_Extraction_of_Design_Decisions_from_Issue_Management_Systems_A_Machine_Learning_Based_Approach,2017,ECSA,Yes,,,,,,,"It is part of the ECSA conference, so it is already analysed",
Enriching Architecture Knowledge with Technology Design Decisions,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/7158515,2015,WICSA,Yes,,,,,,,"It is part of the WICSA conference, so it is already analysed",
"Managing architectural decision models with dependency relations, integrity constraints, and production rules",https://www.researchgate.net/publication/222659875_Managing_architectural_decision_models_with_dependency_relations_integrity_constraints_and_production_rules,2009,Journal of Systems and Software,No,No,Yes,No,,,,They propose to make a formal definition of architectural decision models as directed acyclic graphs with several types of nodes and edges. MSR is not relevant for their proposal,
A comparative study of architecture knowledge management tools,https://ulir.ul.ie/bitstream/handle/10344/2101/2009_Tang.pdf?sequence=2,2009,Journal of Systems and Software,No,No,Yes,No,,,,This paper compares five architectural knowledge management tools and the support they provide in the architecture life-cycle,
Developing an Ontology for Architecture Knowledge from Developer Communities,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/7930203,2017,ICSA,Yes,,,,,,,"It is part of the ICSA conference, so it is already analysed",
What are developers talking about? An analysis of topics and trends in Stack Overflow,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1007/s10664-012-9231-y,2014,Empirical Software Engineering,No,Yes,No,No,,,,They present a methodology to analyze the textual content of Stack Overflow discussions,
Architecture Knowledge for Evauluating Scalable Databases,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/7158508,2015,WICSA,Yes,,,,,,,"It is part of the WICSA conference, so it is already analysed",
10 years of Software Architecture Knowledge Management: Practice and Future,https://www.researchgate.net/publication/283909597_10_years_of_Software_Architecture_Knowledge_Management_Practice_and_Future,2016,Journal of Systems and Software,No,No,Yes,No,,,,This paper discusses traceability as a way of locating relevant architecture knowledge,
What do developers search for on the web?,https://www.researchgate.net/publication/315887516_What_do_developers_search_for_on_the_web,2017,Empirical Software Engineering,No,No,No,No,,,,"They collected search queries from 60 developers, surveyed 235 software engineers from more than 21 countries across five continents. They did not use MSR and did not look for SA specifically",
Designing Software Architectures: A Practical Approach,https://books.google.nl/books?hl=nl&lr=&id=G30JDAAAQBAJ&oi=fnd&pg=PT15&dq=Designing+Software+Architectures:+A+Practical+Approach.&ots=WyIi8euDiL&sig=qDddia4166KFNMjg7HN4ingPAU8#v=onepage&q=Designing%20Software%20Architectures%3A%20A%20Practical%20Approach.&f=false,2016,Book,No,No,Yes,No,,,,"The book is purely about designing software architectures, so MSR is not used",
Conceptual framework for task in information studies,https://www.researchgate.net/publication/220435524_Conceptual_framework_for_task_in_information_studies,2005,Journal of the American Society for Information Science and Technology,No,No,No,No,,,,This article considers the concept of task in the context of information studies in order to provide a definitional clarity for task-based information seeking and retrieval studies,
Case Study Research in Software Engineering -- Guidelines and Examples,https://www.researchgate.net/publication/260246082_Case_Study_Research_in_Software_Engineering_--_Guidelines_and_Examples,2012,Book,No,No,Yes,No,,,,This book is a case study research in software engineering. They do not use MSR while conducting their case studies,
Improving the Search for Architecture Knowledge in Online Developer Communitities,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/8417152,2018,ICSA,Yes,,,,,,,"It is part of the ICSA conference, so it is already analysed",
Architectural decision identification in architectural patterns,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2361999.2362021,2012,WICSA/ECSA,Yes,,,,,,,"It is part of the WICSA/ECSA conference, so it is already analysed",
Software Architecture as a Set of Architectural Design Decisions,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/1620096,2005,WICSA,Yes,,,,,,,"It is part of the WICSA conference, so it is already analysed",
A Dirichlet multinomial mixture model-based approach for short text clustering,https://www.researchgate.net/publication/266660462_A_Dirichlet_multinomial_mixture_model-based_approach_for_short_text_clustering,2014,Article,No,No,No,No,,,,They propose a collapsed Gibbs Sampling algorithm for the Dirichlet Multinomial Mixture model for short text clustering,
Introduction to Information Retrieval,https://nlp.stanford.edu/IR-book/information-retrieval-book.html,2008,Book,No,No,No,No,,,,The topic of information retrieval is independent from SA and MSR,
Finding relevant answers in software forums,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6100069,2011,ASE,No,No,No,No,,,,This paper provides a semantic search engine framework to process software threads and recover relevant answers according to user queries,
Statistical Power Analysis for the Behavioral Sciences,https://www-sciencedirect-com.proxy-ub.rug.nl/book/9780121790608/statistical-power-analysis-for-the-behavioral-sciences,1977,Book,No,No,No,No,,,,This book emphazises the importance of statistical power analysis. SA and MSR are not discussed,
Design and Analysis of Experiments,http://eprints.ukh.ac.id/id/eprint/252/1/2017_Book_DesignAndAnalysisOfExperiments.pdf,2017,Book,No,No,No,No,,,,This book is about designing and analyzing experiments. SA and MSR are not discussed in this book,
Architectural Knowledge for Technology Decisions in Developer Communities: An Exploratory Study with StackOverflow,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/7516820,2016,WICSA,Yes,,,,,,,"It is part of the WICSA conference, so it is already analysed",
Buiding Up and Reasoning About Architectural Knowledge,https://www.researchgate.net/publication/226149705_Building_Up_and_Reasoning_About_Architectural_Knowledge,2006,QoSA,No,No,Yes,No,,,,"In this paper they describe a use-case model for an architectural knowledge base, together with its underlying ontology",
A rationale-based architecture model for design traceability and reasoning,https://www-sciencedirect-com.proxy-ub.rug.nl/science/article/pii/S0164121206002287?via%3Dihub,2007,Journal of Systems and Software,No,No,Yes,No,,,,"They introduce a rationale-based architecture model that incoperates design rationale, design objects and their relationships. Based on this model, they apply traceability techniques for change impact analysis and root-cause analysis",
Guiding Architectural Decision Making on Service Mesh Based Microservice Architectures,https://www.researchgate.net/publication/335551070_Guiding_Architectural_Decision_Making_on_Service_Mesh_Based_Microservice_Architectures,2019,ECSA,Yes,,,,,,,"It is part of the ECSA conference, so it is already analysed",
A Catalogue of Architectural Decisions for Designing IIoT Systems,https://www.researchgate.net/publication/327648050_A_Catalogue_of_Architectural_Decisions_for_Designing_IIoT_Systems_12th_European_Conference_on_Software_Architecture_ECSA_2018_Madrid_Spain_September_24-28_2018_Proceedings,2018,ECSA,Yes,,,,,,,"It is part of the ECSA conference, so it is already analysed",
Evaluating how developers use general-purpose web-search for code retrieval,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/3196398.3196425,2018,MSR,Yes,,,,,,,"It is part of the MSR conference, so it is already analysed",
An Empirical Study of Software Exceptions in the Field using Search Logs,https://arxiv.org/pdf/2006.00385.pdf,2020,ESEM,No,Yes,No,No,,,,"They built a novel and high-performance machine learning model. Using this model, they extracted exceptions from raw queries and performed popularity, effort, success, query characteristic and web domain analysis",
APIExample: An effective web search based usage example recommendation system for java APIs,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6100133,2011,ASE,No,No,No,No,,,,"Given a java API, the APIExample tool collects its related web pages from the internet, extracts java code snippets and their surrounding descriptive texts embedded in the pages, then assembles them into usage examples for programmers",
Augmenting and structuring user queries to support efficient free-form code search,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/3180155.3182513,2018,ICSE,No,No,No,No,,,,They propose a novel approach to augmenting user queries in a free-form code search scenario,
Mining Energy-Related Practices in Robotics Software,https://www.researchgate.net/publication/350398147_Mining_Energy-Related_Practices_in_Robotics_Software,2021,MSR,Yes,,,,,,,"It is part of the MSR conference, so it is already analysed",
Methodological Guidelines for Measuring Energy Consumption of Software Applications,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1155/2019/5284645,2019,Scientific Programming,No,No,No,No,,,,They propose a process for measuring the energy consumption of a software application,
EnergyPath: Repairing Resource Leaks to Improve Energy-Efficiency of Android Apps,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/7889026,2017,IEEE Transactions on Software Engineering,No,Yes,No,No,,,,"They have developed a framework that uses a combination of static and dynamic analysis techniques to detect, validate and repair energy bugs in Android apps",
The TAME project: towards improvement-oriented software environments,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6156,1988,IEEE Transactions on Software Engineering,No,No,Yes,No,,,,"In the TAME project, an improvement-oriented software engineering process model was developed that uses the goal/question/metric paradigm to integrate the constructive and analytic aspects of software development",
Mining Unstructured Data in Software Repositories: Current and Future Trends,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/7476768,2016,SANER,No,No,No,No,,,,This paper describes works on the application of Mining Unstructured Data (MUD) in software engineering,
Plan Representation for Robotic Agents,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/3-540-36381-5_3,2002,Book,No,No,No,No,,,,They discuss the representation of plans that are intended to control autonomous robotic agents,
Energy-aware resource allocation heuristics for efficient management of data centers for Cloud computing,http://citeseerx.ist.psu.edu.proxy-ub.rug.nl/viewdoc/download?doi=10.1.1.436.1504&rep=rep1&type=pdf,2011,Article,No,No,Yes,No,,,,They define an architectural framework and principles for energy-efficient Cloud computing. The proposed energy-aware allocation heuristics provision data center resources to client applications in a way that improves energy efficiency of the data center,
Software engineering for robotics [From the Guest Editors],https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/4799437?arnumber=4799437,2009,IEEE Robotics & Automation Magazine,No,No,Yes,No,,,,They capture a snapshot of current research issues and state-of-the-practice in robotic software development,
Characterizing Energy-Aware Software Projects: Are They Different?,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/7832937,2016,MSR,Yes,,,,,,,"It is part of the MSR conference, so it is already analysed",
Engineering the software of robotic systems,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/7965406,2017,ICSEC,No,No,Yes,No,,,,The goal of this technical briefing is to provide an overview on the state of the art and practice concerning solutions and open challenges in the engineering of software required to; develop and manage robotic systems,
Documenting Software Architectures: Views and Beyond,https://www.researchgate.net/publication/234787962_Documenting_Software_Architectures_Views_and_Beyond,2002,ICSE,No,No,Yes,No,,,,"This paper covers seven fundamental principles that apply to all technical documentation, but especially to architecture documentation",
Dominance statistics: Ordinal analyses to answer ordinal questions,https://psycnet-apa-org.proxy-ub.rug.nl/record/1994-08169-001,1993,Journal of the American Psychological Association,No,No,No,No,,,,This article suggests that an ordinal statistic is often more appropriate when comparing the central tendencies of different groups than some form of mean comparison,
Weighted kappa: Nominal scale agreement provision for scaled disagreement or partial credit,https://psycnet-apa-org.proxy-ub.rug.nl/record/1969-00069-001,1968,Journal of the American Psychological Association,No,No,No,No,,,,"A previously described coefficient of agreement for nomical scales, kappa, treats all disagreements equally. A generalization to weighted kappa is presented",
Catalog of energy patterns for mobile applications,https://www.researchgate.net/publication/331536355_Catalog_of_energy_patterns_for_mobile_applications,2019,Empirical Software Engineering,No,Yes,No,No,,,,"In this work they inspect commits, issues and pull requests of 1027 Android and 756 iOS apps to identify practices when improving energy efficiency",
Recommended Steps for Thematic Synthesis in Software Engineering,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6092576,2011,International Symposium on Empirical Software Engineering and Measurement,No,No,No,No,,,,This paper conceptualizes the thematic synthesis approach in software engineering as a scientific inquiry involving five steps that parallel those of primary research,
The Robot Operating System: Package Reuse and Community Dynamics,https://www.researchgate.net/publication/331030559_The_Robot_Operating_System_Package_Reuse_and_Community_Dynamics,2019,Journal of Systems and Software,No,No,No,No,,,,"They report their findings after interviewing 19 ROS developers in depth, followed by a focus group and an online survey of 119 ROS community members",
The forgotten case of the dependency bugs: on the example of the robot operating system,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/3377813.3381364,2020,ICSE,No ,Yes,No,No,,,,This paper presents a definition and a taxonomy of dependency bugs extracted from data,
A survey on coverage path planning for robotics,https://www.researchgate.net/publication/259135417_A_survey_on_coverage_path_planning_for_robotics,2013,Robotics and Autonomous Systems,No,No,No,No,,,,"In this paper, they present a review of the most successful Coverage Path Planning methods",
Effect Sizes for Research: A Broad Practical Approach,https://www.researchgate.net/publication/270585325_Effect_Sizes_for_Research_A_Broad_Practical_Approach,2005,Book,No,No,No,No,,,,"The goal of this book is to inform a broad readership about a variety of measures and estimators of effect sizes for research, their proper applications and interpretations, and their limitations",
Robotics Multi-Annual Roadmap For Robotics in Europe,https://www.eu-robotics.net/cms/upload/downloads/ppp-documents/Multi-Annual_Roadmap2020_ICT-24_Rev_B_full.pdf,2020,Book,No,No,No,No,,,,This Multi-Annual Roadmap is a companion to the Strategic Research Agenda providing a greater level of technical and market detail,
Estimating mobile application energy consumption using program analysis,https://www.researchgate.net/publication/261039136_Estimating_mobile_application_energy_consumption_using_program_analysis,2013,ICSE,No,Yes,No,No,,,,This paper proposes a new approach that is both lightweight in terms of its developer requirements and provides fine-grained estimates of energy consumption at the code level,
GreenMiner: A hardware based mining software repositories software energy consumption framework,https://www.researchgate.net/publication/266657940_GreenMiner_A_hardware_based_mining_software_repositories_software_energy_consumption_framework,2014,MSR,Yes,,,,,,,"It is part of the MSR conference, so it is already analysed",
Nonparametric Statistical Methods,https://books.google.nl/books?hl=nl&lr=&id=Y5s3AgAAQBAJ&oi=fnd&pg=PP10&dq=Nonparametric+statistical+methods&ots=a_lXh06jwK&sig=YFsenWs0N86hXkuZ7mwRot9XIxA#v=onepage&q=Nonparametric%20statistical%20methods&f=false,2013,Book,No,No,No,No,,,,Statistical methods are not directly related to SA and MSR,
Landing a Spacecraft on Mars,https://spinroot.com/gerard/pdf/landing.pdf,2013,Article,No,Yes,No,No,,,,"To prevent defects is to detect them as early as possible in the software development cycle. To do this, they adopted a range of state-of-the-art static source code analyzers, paired with a new tool-based code review process",
On Architectural Qualities and Tactics for Mobile Sensing,https://www.researchgate.net/publication/272792842_On_Architectural_Qualities_and_Tactics_for_Mobile_Sensing,2015,QoSA,No,No,Yes,No,,,,"In this paper, they present tactics to address architecture design challenges of mobile sensing",
Use of Ranks in One-Criterion Variance Analysis,https://people.ucalgary.ca/~jefox/Kruskal%20and%20Wallis%201952.pdf,1952,Journal of the American Statistical Association,No,No,No,No,,,,"This journal is about practical statistics, so SA and MSR are not discussed",
A Catalog of Architectural Tactics for Cyber-Foraging,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2737182.2737188,2015,QoSA,No,No,Yes,No,,,,This paper presents a catalog of architectural tactics for cyber-foraging that was derived from the results of a systematic literature review on architectures for cyber-foraging systems,
Architectural Tactics for Cyber-Foraging: Results of a Systematic Literature Review,https://www.researchgate.net/publication/278049542_Architectural_Tactics_for_Cyber-Foraging_Results_of_a_Systematic_Literature_Review,2015,Journal of Systems and Software,No,Yes,Yes,No,,,,This is a systematic literature review of currently recognized knowledge concerning architectural technical debt. MSR is not used for this,
An energy saving robot mobility diversity algorithm for wireless communications,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6811802,2013,EUSIPCO,No,No,No,No,,,,"In this paper they develop an algorithm whereby the robot visits a specific number of locations with a pre-determined geometry, and transmits its data from one of these locations in an optimum way that minimizes the overall energy consumption",
